iter	Passed	Remaining
480	634	685
481	636	683
482	637	681
483	637	680
484	639	678
485	640	677
486	641	675
487	642	673
488	643	672
489	644	670
490	645	669
491	646	667
492	647	665
493	648	664
494	649	662
495	650	660
496	651	659
497	652	657
498	653	655
499	654	654
500	655	652
501	656	650
502	657	649
503	658	647
504	659	645
505	660	644
506	661	642
507	662	641
508	663	639
509	664	638
510	664	636
511	665	634
512	666	633
513	667	631
514	668	629
515	669	628
516	670	626
517	671	625
518	672	623
519	673	621
520	674	620
521	675	618
522	676	616
523	677	615
524	678	613
525	679	612
526	680	610
527	680	608
528	681	607
529	682	605
530	683	603
531	684	602
532	685	600
533	686	599
534	687	597
535	688	595
536	689	594
537	690	592
538	691	591
539	692	589
540	693	587
541	693	586
542	694	584
543	695	583
544	696	581
545	697	579
546	698	578
547	699	576
548	700	575
549	701	573
550	702	572
551	703	570
552	704	569
553	705	567
554	706	566
555	707	564
556	708	563
557	709	561
558	710	560
559	711	558
560	711	557
561	713	555
562	713	554
563	714	552
564	715	551
565	716	549
566	718	548
567	719	546
568	720	545
569	721	544
570	722	542
571	723	541
572	724	539
573	725	538
574	726	536
575	727	535
576	728	533
577	729	532
578	730	531
579	731	529
580	732	528
581	734	527
582	735	525
583	736	524
584	737	523
585	738	521
586	739	520
587	740	519
588	741	517
589	743	516
590	744	514
591	744	513
592	745	511
593	746	510
594	747	509
595	749	507
596	750	506
597	751	504
598	752	503
599	753	502
600	754	500
601	755	499
602	756	497
603	757	496
604	758	495
605	759	493
606	760	492
607	761	491
608	762	489
609	763	488
610	764	486
611	765	485
612	766	484
613	767	482
614	769	481
615	770	480
616	771	478
617	772	477
618	773	475
619	774	474
620	775	473
621	776	471
622	777	470
623	778	469
624	779	467
625	780	466
626	781	464
627	782	463
628	783	461
629	784	460
630	785	459
631	786	457
632	787	456
633	788	455
634	789	453
635	790	452
636	791	450
637	792	449
638	793	448
639	793	446
640	794	445
641	795	443
642	796	442
643	797	440
644	798	439
645	799	438
646	800	436
647	801	435
648	802	433
649	803	432
650	804	431
651	805	429
652	806	428
653	807	427
654	808	425
655	809	424
656	810	423
657	811	421
658	812	420
659	813	419
660	814	417
661	815	416
662	816	415
663	817	413
664	818	412
665	819	410
666	820	409
667	821	408
668	821	406
669	822	405
670	823	403
671	824	402
672	825	401
673	826	399
674	827	398
675	828	397
676	829	395
677	830	394
678	831	393
679	832	391
680	833	390
681	834	389
682	835	387
683	836	386
684	837	385
685	838	383
686	839	382
687	840	381
688	841	379
689	842	378
690	843	377
691	844	376
692	846	374
693	847	373
694	848	372
695	849	371
696	850	369
697	851	368
698	852	367
699	853	365
700	854	364
701	856	363
702	857	362
703	857	360
704	858	359
705	859	358
706	860	356
707	861	355
708	862	354
709	863	352
710	864	351
711	865	350
712	866	348
713	867	347
714	868	346
715	869	344
716	870	343
717	871	342
718	872	340
719	873	339
720	874	338
721	875	336
722	875	335
723	876	334
724	877	332
725	878	331
726	879	330
727	880	328
728	881	327
729	882	326
730	883	325
731	884	323
732	885	322
733	885	321
734	887	319
735	888	318
736	889	317
737	889	315
738	890	314
739	891	313
740	892	312
741	893	310
742	894	309
743	895	308
744	896	306
745	898	305
746	899	304
747	900	303
748	901	302
749	903	301
750	904	299
751	905	298
752	906	297
753	907	295
754	908	294
755	909	293
756	910	292
757	911	290
758	912	289
759	913	288
760	914	287
761	915	285
762	916	284
763	917	283
764	918	282
765	919	280
766	920	279
767	921	278
768	922	277
769	923	275
770	924	274
771	925	273
772	926	272
773	927	270
774	928	269
775	929	268
776	930	267
777	931	265
778	932	264
779	933	263
780	934	262
781	935	260
782	936	259
783	937	258
784	938	257
785	939	255
786	940	254
787	941	253
788	942	251
789	943	250
790	944	249
791	945	248
792	946	246
793	947	245
794	948	244
795	949	243
796	950	242
797	951	240
798	952	239
799	953	238
800	954	237
801	955	235
802	956	234
803	957	233
804	958	232
805	959	230
806	960	229
807	961	228
808	962	227
809	963	225
810	963	224
811	964	223
812	965	222
813	966	220
814	967	219
815	968	218
816	970	217
817	970	216
818	971	214
819	972	213
820	973	212
821	974	211
822	975	209
823	976	208
824	977	207
825	978	206
826	979	204
827	980	203
828	981	202
829	982	201
830	983	200
831	984	198
832	985	197
833	986	196
834	991	195
835	993	194
836	994	193
837	997	192
838	999	191
839	1001	190
840	1003	189
841	1005	188
842	1006	187
843	1009	186
844	1013	185
845	1015	184
846	1017	183
847	1019	182
848	1023	182
849	1025	180
850	1027	179
851	1028	178
852	1030	177
853	1031	176
854	1032	175
855	1033	173
856	1034	172
857	1036	171
858	1038	170
859	1039	169
860	1040	167
861	1041	166
862	1043	165
863	1049	165
864	1054	164
865	1056	163
866	1057	162
867	1059	161
868	1060	159
869	1061	158
870	1062	157
871	1064	156
872	1065	155
873	1066	153
874	1068	152
875	1070	151
876	1071	150
877	1073	149
878	1074	147
879	1075	146
880	1076	145
881	1078	144
882	1079	143
883	1080	141
884	1082	140
885	1083	139
886	1085	138
